 Stix 2.1 Property   ,           Schema Name            , Required  Optional ,      Schema Object Type, Schema Parent 
name,name,Required,  stix-attribute-string   ,   attribute   
playbook_id,playbook-id,Required,  stix-attribute-string   ,   attribute   
rule,hunt-rule,Required,  stix-attribute-boolean   ,   attribute   
